protein_ID,Chi,PC1loadings,ASCA,rank,magloading,clust,method
CHOYP_EHI_072050.5.8.m.47580,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_ENO.1.2.m.7681,NA,0.033747063421059,ASCA,89,0.033747063421059,clustering,ASCAclustering
CHOYP_ERF3A.1.1.m.57282,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_FASN.3.4.m.60278,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_FLNA.2.6.m.11845,NA,0.0643110301741204,ASCA,32,0.0643110301741204,clustering,ASCAclustering
CHOYP_FLNC.2.5.m.37450,NA,-0.0285925878411363,ASCA,121,0.0285925878411363,NA,ASCA
CHOYP_FYN.1.1.m.44312,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_GELS2.2.2.m.30443,NA,0.0422515062171616,ASCA,59,0.0422515062171616,NA,ASCA
CHOYP_GIGA2.1.1.m.44916,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_GIGA6.1.1.m.38687,PropTest,0.0318879345710484,ASCA,98,0.0318879345710484,NA,PropTestASCA
CHOYP_GRP78.2.5.m.33058,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_HMCN1.28.44.m.47379,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_HN1L.2.2.m.9837,NA,-0.0452555541899092,ASCA,53,0.0452555541899092,clustering,ASCAclustering
CHOYP_HSP7D.2.3.m.34782,PropTest,0.0500948631047657,ASCA,45,0.0500948631047657,clustering,PropTestASCAclustering
CHOYP_HSP90AA1.1.1.m.14867,NA,0.0275258892878597,ASCA,125,0.0275258892878597,NA,ASCA
CHOYP_IDLC.1.1.m.63624,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_ISCW_ISCW023973.1.2.m.6506,NA,-0.0265678330401214,ASCA,136,0.0265678330401214,clustering,ASCAclustering
CHOYP_KARG.2.11.m.2196,NA,0.0285825995549253,ASCA,122,0.0285825995549253,clustering,ASCAclustering
CHOYP_KCY.1.1.m.29973,NA,0.0521602484895951,ASCA,44,0.0521602484895951,clustering,ASCAclustering
CHOYP_LOC100113561.1.1.m.37903,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_LOC100175959.4.7.m.28172,NA,-0.0708442673566391,ASCA,27,0.0708442673566391,NA,ASCA
CHOYP_LOC100197130.2.2.m.39076,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100367739.1.1.m.22741,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100369657.2.2.m.45309,PropTest,-0.033435220933265,ASCA,92,0.033435220933265,NA,PropTestASCA
CHOYP_LOC100369839.2.4.m.27857,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100371236.1.1.m.62865,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_LOC100371909.1.1.m.30745,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100372942.1.1.m.31119,NA,0.0272426725351531,ASCA,130,0.0272426725351531,NA,ASCA
CHOYP_LOC100374422.1.2.m.26376,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100375784.2.6.m.7640,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100375784.4.6.m.27594,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100376187.1.2.m.22540,NA,0.025512887265257,ASCA,139,0.025512887265257,NA,ASCA
CHOYP_LOC100377173.1.2.m.37698,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100377173.1.2.m.37699,PropTest,0.0702005742998396,ASCA,29,0.0702005742998396,clustering,PropTestASCAclustering
CHOYP_LOC100377364.1.2.m.4828,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100377364.2.2.m.52803,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100377856.2.2.m.43339,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100378255.1.1.m.63185,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100497129.3.8.m.32060,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100497129.6.8.m.41866,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100497129.7.8.m.41875,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100533294.1.3.m.35108,NA,0.0346600621000851,ASCA,86,0.0346600621000851,NA,ASCA
CHOYP_LOC100533447.2.3.m.44496,NA,0.0352124111766769,ASCA,83,0.0352124111766769,NA,ASCA
CHOYP_LOC100567114.1.1.m.39091,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100636340.1.4.m.5143,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100636493.1.1.m.65727,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100699093.1.1.m.20134,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_LOC100699383.1.1.m.63490,PropTest,0.0827975046865898,ASCA,21,0.0827975046865898,clustering,PropTestASCAclustering
CHOYP_LOC100875585.1.1.m.8714,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100888608.1.3.m.5445,NA,0.0420753720849226,ASCA,61,0.0420753720849226,NA,ASCA
CHOYP_LOC100893889.2.2.m.64935,NA,0.0595799697049359,ASCA,36,0.0595799697049359,NA,ASCA
CHOYP_LOC101072646.1.1.m.8800,PropTest,-0.0376288990007796,ASCA,75,0.0376288990007796,clustering,PropTestASCAclustering
CHOYP_LOC101156984.2.2.m.22956,NA,0.0676388939745996,ASCA,30,0.0676388939745996,clustering,ASCAclustering
CHOYP_LOC101173335.2.4.m.33982,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC101242248.1.2.m.24785,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC587610.3.3.m.27175,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC658201.1.1.m.42880,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_LOC659512.3.4.m.26463,NA,0.0293374398660133,ASCA,113,0.0293374398660133,NA,ASCA
CHOYP_LOC752782.1.1.m.53937,PropTest,0.210117432807835,ASCA,6,0.210117432807835,clustering,PropTestASCAclustering
CHOYP_LOC754102.1.1.m.57578,PropTest,0.324586895069153,ASCA,1,0.324586895069153,clustering,PropTestASCAclustering
CHOYP_LOC757096.1.1.m.9762,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_MATN1.3.5.m.46206,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_MBCDH18.1.1.m.34344,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_MDHC.1.1.m.57053,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_MLE.1.9.m.15462,NA,0.0478149186191349,ASCA,50,0.0478149186191349,clustering,ASCAclustering
CHOYP_MUC5A.1.2.m.43407,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_MYS.4.7.m.18188,NA,0.0447847025968659,ASCA,54,0.0447847025968659,clustering,ASCAclustering
CHOYP_MYS.7.7.m.44342,PropTest,0.0400919883242708,ASCA,68,0.0400919883242708,NA,PropTestASCA
CHOYP_MYSP.8.9.m.44813,NA,-0.0819273894698138,ASCA,22,0.0819273894698138,clustering,ASCAclustering
CHOYP_NEMVEDRAFT_V1G120119.1.2.m.6082,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_NEMVEDRAFT_V1G167853.1.2.m.20047,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_NEMVEDRAFT_V1G191841.1.1.m.1745,NA,-0.0260629677090186,ASCA,138,0.0260629677090186,clustering,ASCAclustering
CHOYP_NEMVEDRAFT_V1G235461.1.1.m.28341,NA,-0.026539018252298,ASCA,137,0.026539018252298,NA,ASCA
CHOYP_NEMVEDRAFT_V1G242065.1.1.m.21817,NA,0.0919806625588091,ASCA,17,0.0919806625588091,clustering,ASCAclustering
CHOYP_NPC2.5.7.m.30911,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_NRP.2.4.m.39720,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_PABP4.4.6.m.38167,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_PCKG.1.2.m.43785,NA,0.0278861292760328,ASCA,124,0.0278861292760328,NA,ASCA
CHOYP_PHUM_PHUM066670.2.3.m.42178,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_PHUM_PHUM226120.2.7.m.2274,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_PHUM_PHUM226120.3.7.m.20773,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_PHUM_PHUM226120.5.7.m.43551,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_PHUM_PHUM226120.7.7.m.54053,NA,0.0298820220260404,ASCA,109,0.0298820220260404,NA,ASCA
CHOYP_PIDD.1.1.m.54294,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_PPUTW619_2764.1.1.m.44946,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_PSA.1.1.m.27259,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_RBBP4.1.1.m.62913,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_RL18A.6.8.m.61646,NA,0.0346725395806515,ASCA,85,0.0346725395806515,clustering,ASCAclustering
CHOYP_RL24.6.9.m.43123,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_RL40.1.7.m.3623,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_RN45S.2.5.m.14111,NA,0.0485874038522361,ASCA,47,0.0485874038522361,NA,ASCA
CHOYP_RS3A.4.15.m.15367,NA,0.0540899885364479,ASCA,41,0.0540899885364479,clustering,ASCAclustering
CHOYP_RS4.3.11.m.15465,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_RS9.9.13.m.44486,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_SAHHA.1.1.m.62610,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_SELD.1.2.m.8600,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_SMP_012720.1.2.m.31152,NA,0.0250874871007923,ASCA,142,0.0250874871007923,NA,ASCA
CHOYP_SMP_045300.1.1.m.927,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_SPTCA.1.2.m.1905,NA,0.0406658106407769,ASCA,66,0.0406658106407769,clustering,ASCAclustering
CHOYP_SSPO.12.14.m.53188,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_TBA1.7.9.m.44107,NA,0.0484177290218056,ASCA,48,0.0484177290218056,NA,ASCA
CHOYP_TBA2.1.1.m.955,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_TBA3.1.1.m.5111,NA,-0.04087049173613,ASCA,65,0.04087049173613,NA,ASCA
CHOYP_TBB4B.1.7.m.12262,PropTest,0.0452950031941245,ASCA,52,0.0452950031941245,clustering,PropTestASCAclustering
CHOYP_TBB4B.7.7.m.63980,PropTest,-0.0933634887952258,ASCA,16,0.0933634887952258,clustering,PropTestASCAclustering
CHOYP_TCPD.1.1.m.13556,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_TCPH.1.1.m.7312,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_TITIN.8.19.m.35861,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_TPM.15.19.m.50851,NA,-0.0361822044484329,ASCA,80,0.0361822044484329,NA,ASCA
CHOYP_TRIADDRAFT_63666.3.3.m.57696,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_TVAG_268110.13.13.m.65590,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_TVAG_355490.15.22.m.47579,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_TVAG_355490.16.22.m.50235,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_TVAG_355490.6.22.m.13410,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_TYRO.1.1.m.38876,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_VATA.1.1.m.44460,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_XRN2.1.1.m.13943,PropTest,NA,NA,NA,NA,NA,PropTest
