Uniprot-Accession,S2-Protein,0,3,5,7,9,11,13,15,E-value,Protein,Gene,Length,GO-BP,GO-IDs,Pathway,UniPathway,CDD,Pfam,GO-name
Q80YR4,CHOYP_LOC100119750.1.1|m.7019,1,0,0,0,0,0,0,0,2.00E-106,Zinc finger protein 598,Znf598 Zfp598,908,,GO:0003723; GO:0008270,,,,,RNA binding [GO:0003723]; zinc ion binding [GO:0008270]
Q60HE9,CHOYP_LOC100176799.1.1|m.3132,0,0,0,0,0,0,0,0,0,Lysosomal alpha-mannosidase (Laman) (EC 3.2.1.24) (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B),MAN2B1 QmoA-10471,1012,mannose metabolic process [GO:0006013],GO:0004559; GO:0005764; GO:0006013; GO:0008270; GO:0030246,,,,PF09261;PF01074;PF07748;,lysosome [GO:0005764]; alpha-mannosidase activity [GO:0004559]; carbohydrate binding [GO:0030246]; zinc ion binding [GO:0008270]; mannose metabolic process [GO:0006013]
Q8JZM4,CHOYP_LOC100366797.1.3|m.20765,0,0,0,0,0,0,0,0,0.0000001,Delta and Notch-like epidermal growth factor-related receptor (Brain EGF repeat-containing transmembrane protein),Dner Bet Bret,737,central nervous system development [GO:0007417]; glial cell differentiation [GO:0010001]; Notch receptor processing [GO:0007220]; Notch signaling pathway [GO:0007219]; skeletal muscle fiber development [GO:0048741],GO:0005112; GO:0005509; GO:0005769; GO:0005886; GO:0007219; GO:0007220; GO:0007417; GO:0010001; GO:0016021; GO:0030425; GO:0043025; GO:0048741,,,,PF00008;PF12661;,dendrite [GO:0030425]; early endosome [GO:0005769]; integral component of membrane [GO:0016021]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; Notch binding [GO:0005112]; central nervous system development [GO:0007417]; glial cell differentiation [GO:0010001]; Notch receptor processing [GO:0007220]; Notch signaling pathway [GO:0007219]; skeletal muscle fiber development [GO:0048741]
Q9BGT1,CHOYP_LOC100366957.1.1|m.10938,0.5,0,0,0,0,0,0,0,2.00E-30,Tetratricopeptide repeat protein 9C (TPR repeat protein 9C),TTC9C QflA-13179,171,,,,,,PF07719;,
Q5R8X6,CHOYP_LOC100465916.1.1|m.44328,0,0,0,0,0,0,0,0,2.00E-25,"Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Plasmin heavy chain A, short form; Plasmin light chain B]",PLG,810,blood coagulation [GO:0007596]; fibrinolysis [GO:0042730]; tissue remodeling [GO:0048771],GO:0004252; GO:0005576; GO:0007596; GO:0042730; GO:0048771,,,cd00190;,PF00051;PF00024;PF00089;,extracellular region [GO:0005576]; serine-type endopeptidase activity [GO:0004252]; blood coagulation [GO:0007596]; fibrinolysis [GO:0042730]; tissue remodeling [GO:0048771]
Q6P360,CHOYP_LOC100471656.2.2|m.34266,0,0,0,0,0,0,0,0,8.00E-151,RING finger protein 121,rnf121,327,endoplasmic reticulum unfolded protein response [GO:0030968]; ER-associated ubiquitin-dependent protein catabolic process [GO:0030433]; neuronal action potential [GO:0019228]; protein localization to plasma membrane [GO:0072659]; regulation of ER-associated ubiquitin-dependent protein catabolic process [GO:1903069]; thigmotaxis [GO:0001966],GO:0000139; GO:0001966; GO:0005789; GO:0008270; GO:0016021; GO:0019228; GO:0030433; GO:0030968; GO:0061630; GO:0072659; GO:1903069,,,,,endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]; endoplasmic reticulum unfolded protein response [GO:0030968]; ER-associated ubiquitin-dependent protein catabolic process [GO:0030433]; neuronal action potential [GO:0019228]; protein localization to plasma membrane [GO:0072659]; regulation of ER-associated ubiquitin-dependent protein catabolic process [GO:1903069]; thigmotaxis [GO:0001966]
B8ARK7,CHOYP_LOC100632618.2.3|m.30752,0,0,0,0,0,0,0,0,3.00E-45,NAD-dependent protein deacetylase SRT1 (EC 3.5.1.-) (Regulatory protein SIR2 homolog 1) (SIR2-like protein 1),SRT1 OsI_15145,484,,GO:0005634; GO:0016787; GO:0046872; GO:0070403,,,,PF02146;,nucleus [GO:0005634]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; NAD+ binding [GO:0070403]
P35448,CHOYP_LOC100888702.1.1|m.56287,0,0,0,0,0,0,0,0,6.00E-13,Thrombospondin-1,thbs1 tsp1,1173,cell adhesion [GO:0007155]; inflammatory response [GO:0006954]; negative regulation of angiogenesis [GO:0016525]; response to unfolded protein [GO:0006986],GO:0005509; GO:0005615; GO:0005783; GO:0006954; GO:0006986; GO:0007155; GO:0008201; GO:0016525; GO:0016529; GO:0050840,,,,PF12947;PF00090;PF02412;PF05735;PF00093;,endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; sarcoplasmic reticulum [GO:0016529]; calcium ion binding [GO:0005509]; extracellular matrix binding [GO:0050840]; heparin binding [GO:0008201]; cell adhesion [GO:0007155]; inflammatory response [GO:0006954]; negative regulation of angiogenesis [GO:0016525]; response to unfolded protein [GO:0006986]
Q13449,CHOYP_LSAMP.1.1|m.36104,0,0,0,0,0,0,0,0,3.00E-14,Limbic system-associated membrane protein (LSAMP) (IgLON family member 3),LSAMP IGLON3 LAMP,338,cell adhesion [GO:0007155]; C-terminal protein lipidation [GO:0006501]; locomotory exploration behavior [GO:0035641]; nervous system development [GO:0007399],GO:0005576; GO:0005886; GO:0006501; GO:0007155; GO:0007399; GO:0031225; GO:0035641,,,,PF07679;,anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]; C-terminal protein lipidation [GO:0006501]; cell adhesion [GO:0007155]; locomotory exploration behavior [GO:0035641]; nervous system development [GO:0007399]
P97798,CHOYP_NEO1.3.3|m.61836,0,0,0,0,0,0,0,0,0,Neogenin,Neo1 Ngn,1493,"axon guidance [GO:0007411]; cell adhesion [GO:0007155]; iron ion homeostasis [GO:0055072]; myoblast fusion [GO:0007520]; negative regulation of axon regeneration [GO:0048681]; negative regulation of protein secretion [GO:0050709]; neuron migration [GO:0001764]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of muscle cell differentiation [GO:0051149]; regulation of axon regeneration [GO:0048679]; regulation of neuron migration [GO:2001222]; regulation of transcription, DNA-templated [GO:0006355]",GO:0001764; GO:0004872; GO:0005654; GO:0005794; GO:0005886; GO:0005887; GO:0006355; GO:0007155; GO:0007411; GO:0007520; GO:0009986; GO:0016020; GO:0030513; GO:0038023; GO:0039706; GO:0045296; GO:0048679; GO:0048681; GO:0050709; GO:0051149; GO:0055072; GO:0070700; GO:0097708; GO:0098797; GO:2001222,,,cd00063;,PF00041;PF07679;PF13895;PF06583;,"cell surface [GO:0009986]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; intracellular vesicle [GO:0097708]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; plasma membrane protein complex [GO:0098797]; BMP receptor binding [GO:0070700]; cadherin binding [GO:0045296]; co-receptor binding [GO:0039706]; receptor activity [GO:0004872]; signaling receptor activity [GO:0038023]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]; iron ion homeostasis [GO:0055072]; myoblast fusion [GO:0007520]; negative regulation of axon regeneration [GO:0048681]; negative regulation of protein secretion [GO:0050709]; neuron migration [GO:0001764]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of muscle cell differentiation [GO:0051149]; regulation of axon regeneration [GO:0048679]; regulation of neuron migration [GO:2001222]; regulation of transcription, DNA-templated [GO:0006355]"
Q8MIQ9,CHOYP_OCA2.1.1|m.46084,0,0,0,0,0,0,0,0,0,P protein (Melanocyte-specific transporter protein) (Pink-eyed dilution protein homolog),Oca2 P,845,transmembrane transport [GO:0055085],GO:0016021; GO:0033162; GO:0055085,,,,PF03600;,integral component of membrane [GO:0016021]; melanosome membrane [GO:0033162]; transmembrane transport [GO:0055085]
Q9NWU1,CHOYP_OXSM.1.1|m.30217,0,0,0,0,0,0,0,0,1.00E-154,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial (EC 2.3.1.41) (Beta-ketoacyl-ACP synthase)",OXSM,459,acyl-CoA metabolic process [GO:0006637]; medium-chain fatty acid biosynthetic process [GO:0051792]; short-chain fatty acid biosynthetic process [GO:0051790],GO:0004315; GO:0005739; GO:0005829; GO:0006637; GO:0051790; GO:0051792,PATHWAY: Lipid metabolism; fatty acid biosynthesis.,,,PF00109;PF02801;,cytosol [GO:0005829]; mitochondrion [GO:0005739]; 3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; acyl-CoA metabolic process [GO:0006637]; medium-chain fatty acid biosynthetic process [GO:0051792]; short-chain fatty acid biosynthetic process [GO:0051790]
Q6P4W8,CHOYP_PCH2.1.1|m.7113,0,0,0,0,0,0,0,0,0,Pachytene checkpoint protein 2 homolog (Thyroid hormone receptor interactor 13 homolog) (Thyroid receptor-interacting protein 13 homolog) (TR-interacting protein 13 homolog) (TRIP-13 homolog),trip13 pch2,432,double-strand break repair [GO:0006302]; oogenesis [GO:0048477]; reciprocal meiotic recombination [GO:0007131]; spermatogenesis [GO:0007283]; synaptonemal complex assembly [GO:0007130],GO:0005524; GO:0006302; GO:0007130; GO:0007131; GO:0007283; GO:0048477,,,,PF00004;,ATP binding [GO:0005524]; double-strand break repair [GO:0006302]; oogenesis [GO:0048477]; reciprocal meiotic recombination [GO:0007131]; spermatogenesis [GO:0007283]; synaptonemal complex assembly [GO:0007130]
Q5ZHN9,CHOYP_PGPS1.1.1|m.10148,0,0,0,0,0,0,0,0,4.00E-140,"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial (EC 2.7.8.5) (Phosphatidylglycerophosphate synthase 1) (PGP synthase 1)",PGS1 RCJMB04_35a14,557,phosphatidylglycerol biosynthetic process [GO:0006655],GO:0005524; GO:0005739; GO:0005783; GO:0006655; GO:0008444,PATHWAY: Phospholipid metabolism; phosphatidylglycerol biosynthesis; phosphatidylglycerol from CDP-diacylglycerol: step 1/2.,,,,endoplasmic reticulum [GO:0005783]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity [GO:0008444]; phosphatidylglycerol biosynthetic process [GO:0006655]
P49747,CHOYP_PHUM_PHUM370970.1.2|m.40102,0.5,0,0,0,0,0,0,0,0,Cartilage oligomeric matrix protein (COMP) (Thrombospondin-5) (TSP5),COMP,757,animal organ morphogenesis [GO:0009887]; apoptotic process [GO:0006915]; cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198]; growth plate cartilage development [GO:0003417]; limb development [GO:0060173]; negative regulation of apoptotic process [GO:0043066]; skeletal system development [GO:0001501],GO:0001501; GO:0002020; GO:0003417; GO:0005201; GO:0005509; GO:0005518; GO:0005576; GO:0005578; GO:0005615; GO:0006915; GO:0007155; GO:0008201; GO:0009887; GO:0030198; GO:0043066; GO:0043395; GO:0060173; GO:0070062,,,,PF11598;PF07645;PF02412;PF05735;,extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; proteinaceous extracellular matrix [GO:0005578]; calcium ion binding [GO:0005509]; collagen binding [GO:0005518]; extracellular matrix structural constituent [GO:0005201]; heparan sulfate proteoglycan binding [GO:0043395]; heparin binding [GO:0008201]; protease binding [GO:0002020]; animal organ morphogenesis [GO:0009887]; apoptotic process [GO:0006915]; cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198]; growth plate cartilage development [GO:0003417]; limb development [GO:0060173]; negative regulation of apoptotic process [GO:0043066]; skeletal system development [GO:0001501]
P16621,CHOYP_PTPRF.3.6|m.28841,0.5,0,0,0,0,0,0,0,0,Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR),Lar CG10443,2029,axon extension [GO:0048675]; axon guidance [GO:0007411]; axon target recognition [GO:0007412]; cell adhesion [GO:0007155]; embryonic development via the syncytial blastoderm [GO:0001700]; motor neuron axon guidance [GO:0008045]; negative regulation of homophilic cell adhesion [GO:1903386]; nervous system development [GO:0007399]; oogenesis [GO:0048477]; photoreceptor cell morphogenesis [GO:0008594]; protein dephosphorylation [GO:0006470]; R7 cell development [GO:0045467]; regulation of axon extension involved in axon guidance [GO:0048841]; regulation of cell shape [GO:0008360]; retinal ganglion cell axon guidance [GO:0031290]; spermatogenesis [GO:0007283]; synaptic growth at neuromuscular junction [GO:0051124],GO:0001700; GO:0004725; GO:0005001; GO:0005875; GO:0005886; GO:0005925; GO:0006470; GO:0007155; GO:0007283; GO:0007399; GO:0007411; GO:0007412; GO:0008045; GO:0008201; GO:0008360; GO:0008594; GO:0016021; GO:0030424; GO:0031290; GO:0032093; GO:0045467; GO:0048477; GO:0048675; GO:0048841; GO:0051124; GO:1903386,,,cd00063;,PF00041;PF07679;PF00102;,axon [GO:0030424]; focal adhesion [GO:0005925]; integral component of membrane [GO:0016021]; microtubule associated complex [GO:0005875]; plasma membrane [GO:0005886]; heparin binding [GO:0008201]; protein tyrosine phosphatase activity [GO:0004725]; SAM domain binding [GO:0032093]; transmembrane receptor protein tyrosine phosphatase activity [GO:0005001]; axon extension [GO:0048675]; axon guidance [GO:0007411]; axon target recognition [GO:0007412]; cell adhesion [GO:0007155]; embryonic development via the syncytial blastoderm [GO:0001700]; motor neuron axon guidance [GO:0008045]; negative regulation of homophilic cell adhesion [GO:1903386]; nervous system development [GO:0007399]; oogenesis [GO:0048477]; photoreceptor cell morphogenesis [GO:0008594]; protein dephosphorylation [GO:0006470]; R7 cell development [GO:0045467]; regulation of axon extension involved in axon guidance [GO:0048841]; regulation of cell shape [GO:0008360]; retinal ganglion cell axon guidance [GO:0031290]; spermatogenesis [GO:0007283]; synaptic growth at neuromuscular junction [GO:0051124]
Q9DBU3,CHOYP_RIOK3.1.1|m.54195,0,0,0,0,0,0,0,0,2.00E-175,Serine/threonine-protein kinase RIO3 (EC 2.7.11.1) (RIO kinase 3),Riok3,519,cellular response to dsDNA [GO:1990786]; cellular response to dsRNA [GO:0071359]; cellular response to virus [GO:0098586]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; negative regulation of MDA-5 signaling pathway [GO:0039534]; negative regulation of protein homooligomerization [GO:0032463]; positive regulation of innate immune response [GO:0045089]; positive regulation of interferon-beta production [GO:0032728],GO:0004674; GO:0005524; GO:0032463; GO:0032728; GO:0039534; GO:0043124; GO:0045089; GO:0046872; GO:0071359; GO:0089720; GO:0098586; GO:1990786,,,,,ATP binding [GO:0005524]; caspase binding [GO:0089720]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; cellular response to dsDNA [GO:1990786]; cellular response to dsRNA [GO:0071359]; cellular response to virus [GO:0098586]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; negative regulation of MDA-5 signaling pathway [GO:0039534]; negative regulation of protein homooligomerization [GO:0032463]; positive regulation of innate immune response [GO:0045089]; positive regulation of interferon-beta production [GO:0032728]
Q9JJ80,CHOYP_RPF2.2.2|m.27891,0,0,0,0,0,0,0,0,3.00E-140,Ribosome production factor 2 homolog (Brix domain-containing protein 1) (Ribosome biogenesis protein RPF2 homolog),Rpf2 Bxdc1 MNCb-4285,306,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; ribosomal large subunit assembly [GO:0000027]",GO:0000027; GO:0000463; GO:0003723; GO:0005634; GO:0005730; GO:0019843,,,,PF04427;,"nucleolus [GO:0005730]; nucleus [GO:0005634]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; ribosomal large subunit assembly [GO:0000027]"
Q6P4S6,CHOYP_SIK3.1.1|m.8214,0,0,0,0,0,0,0,0,0,Serine/threonine-protein kinase SIK3 (EC 2.7.11.1) (Salt-inducible kinase 3) (SIK-3) (Serine/threonine-protein kinase QSK),Sik3 Kiaa0999 Qsk,1311,cartilage development involved in endochondral bone morphogenesis [GO:0060351]; endochondral ossification [GO:0001958]; limb morphogenesis [GO:0035108]; multicellular organism growth [GO:0035264]; protein phosphorylation [GO:0006468]; regulation of protein localization [GO:0032880]; skeletal system morphogenesis [GO:0048705],GO:0000287; GO:0001958; GO:0004674; GO:0005524; GO:0005737; GO:0006468; GO:0032880; GO:0035108; GO:0035264; GO:0048705; GO:0060351,,,,PF00069;,cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein serine/threonine kinase activity [GO:0004674]; cartilage development involved in endochondral bone morphogenesis [GO:0060351]; endochondral ossification [GO:0001958]; limb morphogenesis [GO:0035108]; multicellular organism growth [GO:0035264]; protein phosphorylation [GO:0006468]; regulation of protein localization [GO:0032880]; skeletal system morphogenesis [GO:0048705]
Q7TQ69,CHOYP_TMC3.1.1|m.4078,0,0,0,0,0,0,0,0,7.00E-85,Transmembrane channel-like protein 3,Tmc3,1130,ion transport [GO:0006811],GO:0006811; GO:0016021,,,,PF07810;,integral component of membrane [GO:0016021]; ion transport [GO:0006811]
Q9NTG1,CHOYP_TRIADDRAFT_53596.1.1|m.47642,0,0,0,0,0,0,0,0,3.00E-90,Polycystic kidney disease and receptor for egg jelly-related protein (PKD and REJ homolog),PKDREJ,2253,acrosome reaction [GO:0007340]; detection of mechanical stimulus [GO:0050982],GO:0005262; GO:0005509; GO:0007340; GO:0016020; GO:0016021; GO:0050982,,,,PF08016;PF01477;PF02010;,integral component of membrane [GO:0016021]; membrane [GO:0016020]; calcium channel activity [GO:0005262]; calcium ion binding [GO:0005509]; acrosome reaction [GO:0007340]; detection of mechanical stimulus [GO:0050982]
Q9JMB1,CHOYP_BRAFLDRAFT_120588.1.1|m.22993,1.5,0,0,0,0,0,0,0,2.00E-12,Testicular haploid expressed gene protein,Theg,375,cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; spermatogenesis [GO:0007283],GO:0005634; GO:0005737; GO:0007275; GO:0007283; GO:0030154,,,,PF14912;,cytoplasm [GO:0005737]; nucleus [GO:0005634]; cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; spermatogenesis [GO:0007283]
Q14790,CHOYP_BRAFLDRAFT_120993.1.2|m.41307,0,0,0,0,0,0,0,0,0.00000004,Caspase-8 (CASP-8) (EC 3.4.22.61) (Apoptotic cysteine protease) (Apoptotic protease Mch-5) (CAP4) (FADD-homologous ICE/ced-3-like protease) (FADD-like ICE) (FLICE) (ICE-like apoptotic protease 5) (MORT1-associated ced-3 homolog) (MACH) [Cleaved into: Caspase-8 subunit p18; Caspase-8 subunit p10],CASP8 MCH5,479,activation of cysteine-type endopeptidase activity [GO:0097202]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway [GO:0097296]; apoptotic process [GO:0006915]; apoptotic signaling pathway [GO:0097190]; B cell activation [GO:0042113]; cell surface receptor signaling pathway [GO:0007166]; cellular response to mechanical stimulus [GO:0071260]; cellular response to organic cyclic compound [GO:0071407]; death-inducing signaling complex assembly [GO:0071550]; execution phase of apoptosis [GO:0097194]; extrinsic apoptotic signaling pathway [GO:0097191]; macrophage differentiation [GO:0030225]; natural killer cell activation [GO:0030101]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; nucleotide-binding oligomerization domain containing signaling pathway [GO:0070423]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of macrophage differentiation [GO:0045651]; positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway [GO:1900740]; positive regulation of proteolysis [GO:0045862]; proteolysis [GO:0006508]; proteolysis involved in cellular protein catabolic process [GO:0051603]; regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902041]; regulation of necroptotic process [GO:0060544]; regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803]; response to antibiotic [GO:0046677]; response to cobalt ion [GO:0032025]; response to cold [GO:0009409]; response to estradiol [GO:0032355]; response to ethanol [GO:0045471]; response to lipopolysaccharide [GO:0032496]; response to tumor necrosis factor [GO:0034612]; suppression by virus of host cysteine-type endopeptidase activity involved in apoptotic process [GO:0039650]; syncytiotrophoblast cell differentiation involved in labyrinthine layer development [GO:0060715]; T cell activation [GO:0042110]; TRAIL-activated apoptotic signaling pathway [GO:0036462]; TRIF-dependent toll-like receptor signaling pathway [GO:0035666],GO:0004197; GO:0005654; GO:0005739; GO:0005741; GO:0005829; GO:0005856; GO:0006508; GO:0006915; GO:0006919; GO:0007166; GO:0008233; GO:0008234; GO:0009409; GO:0010803; GO:0030101; GO:0030225; GO:0031264; GO:0031265; GO:0031625; GO:0032025; GO:0032355; GO:0032496; GO:0034612; GO:0035666; GO:0035877; GO:0036462; GO:0039650; GO:0042110; GO:0042113; GO:0042802; GO:0043005; GO:0043123; GO:0043124; GO:0044297; GO:0045121; GO:0045471; GO:0045651; GO:0045862; GO:0046677; GO:0051603; GO:0060544; GO:0060715; GO:0070423; GO:0071260; GO:0071407; GO:0071550; GO:0097110; GO:0097153; GO:0097190; GO:0097191; GO:0097194; GO:0097199; GO:0097200; GO:0097202; GO:0097296; GO:0097342; GO:1900740; GO:1902041; GO:1902042,,,cd00032;,PF01335;,CD95 death-inducing signaling complex [GO:0031265]; cell body [GO:0044297]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; death-inducing signaling complex [GO:0031264]; membrane raft [GO:0045121]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; ripoptosome [GO:0097342]; cysteine-type endopeptidase activity [GO:0004197]; cysteine-type endopeptidase activity involved in apoptotic process [GO:0097153]; cysteine-type endopeptidase activity involved in apoptotic signaling pathway [GO:0097199]; cysteine-type endopeptidase activity involved in execution phase of apoptosis [GO:0097200]; cysteine-type peptidase activity [GO:0008234]; death effector domain binding [GO:0035877]; identical protein binding [GO:0042802]; peptidase activity [GO:0008233]; scaffold protein binding [GO:0097110]; ubiquitin protein ligase binding [GO:0031625]; activation of cysteine-type endopeptidase activity [GO:0097202]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway [GO:0097296]; apoptotic process [GO:0006915]; apoptotic signaling pathway [GO:0097190]; B cell activation [GO:0042113]; cell surface receptor signaling pathway [GO:0007166]; cellular response to mechanical stimulus [GO:0071260]; cellular response to organic cyclic compound [GO:0071407]; death-inducing signaling complex assembly [GO:0071550]; execution phase of apoptosis [GO:0097194]; extrinsic apoptotic signaling pathway [GO:0097191]; macrophage differentiation [GO:0030225]; natural killer cell activation [GO:0030101]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; nucleotide-binding oligomerization domain containing signaling pathway [GO:0070423]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of macrophage differentiation [GO:0045651]; positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway [GO:1900740]; positive regulation of proteolysis [GO:0045862]; proteolysis [GO:0006508]; proteolysis involved in cellular protein catabolic process [GO:0051603]; regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902041]; regulation of necroptotic process [GO:0060544]; regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803]; response to antibiotic [GO:0046677]; response to cobalt ion [GO:0032025]; response to cold [GO:0009409]; response to estradiol [GO:0032355]; response to ethanol [GO:0045471]; response to lipopolysaccharide [GO:0032496]; response to tumor necrosis factor [GO:0034612]; suppression by virus of host cysteine-type endopeptidase activity involved in apoptotic process [GO:0039650]; syncytiotrophoblast cell differentiation involved in labyrinthine layer development [GO:0060715]; T cell activation [GO:0042110]; TRAIL-activated apoptotic signaling pathway [GO:0036462]; TRIF-dependent toll-like receptor signaling pathway [GO:0035666]
Q08295,CHOYP_BRAFLDRAFT_265208.7.7|m.62510,1.5,0,0,0,0,0,0,0,8.00E-34,"Oligo-1,6-glucosidase IMA2 (EC 3.2.1.10) (Alpha-glucosidase) (Isomaltase 2)",IMA2 YOL157C,589,disaccharide catabolic process [GO:0046352]; maltose metabolic process [GO:0000023],GO:0000023; GO:0004574; GO:0004575; GO:0046352,,,,PF00128;,"oligo-1,6-glucosidase activity [GO:0004574]; sucrose alpha-glucosidase activity [GO:0004575]; disaccharide catabolic process [GO:0046352]; maltose metabolic process [GO:0000023]"
Q9BPW9,CHOYP_BRAFLDRAFT_290492.1.1|m.21887,0,0,0,0,0,0,0,0,4.00E-74,Dehydrogenase/reductase SDR family member 9 (EC 1.1.-.-) (3-alpha hydroxysteroid dehydrogenase) (3-alpha-HSD) (NADP-dependent retinol dehydrogenase/reductase) (RDH-E2) (RDHL) (Retinol dehydrogenase 15) (Short chain dehydrogenase/reductase family 9C member 4) (Short-chain dehydrogenase/reductase retSDR8) (Tracheobronchial epithelial cell-specific retinol dehydrogenase) (RDH-TBE),DHRS9 RDH15 SDR9C4 UNQ835/PRO1773,319,9-cis-retinoic acid biosynthetic process [GO:0042904]; androgen metabolic process [GO:0008209]; epithelial cell differentiation [GO:0030855]; progesterone metabolic process [GO:0042448]; retinol metabolic process [GO:0042572],GO:0004022; GO:0004745; GO:0005789; GO:0008209; GO:0016854; GO:0030176; GO:0030855; GO:0031090; GO:0042448; GO:0042572; GO:0042904; GO:0047035,,,,PF00106;,endoplasmic reticulum membrane [GO:0005789]; integral component of endoplasmic reticulum membrane [GO:0030176]; organelle membrane [GO:0031090]; alcohol dehydrogenase (NAD) activity [GO:0004022]; racemase and epimerase activity [GO:0016854]; retinol dehydrogenase activity [GO:0004745]; testosterone dehydrogenase (NAD+) activity [GO:0047035]; 9-cis-retinoic acid biosynthetic process [GO:0042904]; androgen metabolic process [GO:0008209]; epithelial cell differentiation [GO:0030855]; progesterone metabolic process [GO:0042448]; retinol metabolic process [GO:0042572]
Q6XZF7,CHOYP_BRAFLDRAFT_91062.1.1|m.77,0,0,0,0,0,0,0,0,1.00E-112,Dynamin-binding protein (Scaffold protein Tuba),DNMBP KIAA1010,1577,positive regulation of GTPase activity [GO:0043547]; regulation of Rho protein signal transduction [GO:0035023]; small GTPase mediated signal transduction [GO:0007264],GO:0005089; GO:0005795; GO:0005856; GO:0007264; GO:0030054; GO:0035023; GO:0043547; GO:0045202,,,,PF03114;PF00621;PF00018;PF07653;PF14604;,cell junction [GO:0030054]; cytoskeleton [GO:0005856]; Golgi stack [GO:0005795]; synapse [GO:0045202]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]; positive regulation of GTPase activity [GO:0043547]; regulation of Rho protein signal transduction [GO:0035023]; small GTPase mediated signal transduction [GO:0007264]
