Uniprot-Accession,S3-Protein,0,3,5,7,9,11,13,15,E-value,Protein,Gene,Length,GO-BP,GO-IDs,Pathway,UniPathway,CDD,Pfam,GO-names
Q9EQ28,CHOYP_LOC101156197.1.1|m.31571,0,0,0,0,0,0,0,0,3.00E-59,DNA polymerase delta subunit 3 (DNA polymerase delta subunit p66),Pold3,462,"DNA replication [GO:0006260]; nucleotide-excision repair, DNA gap filling [GO:0006297]",GO:0005634; GO:0005737; GO:0006260; GO:0006297,,,,PF09507;,"cytoplasm [GO:0005737]; nucleus [GO:0005634]; DNA replication [GO:0006260]; nucleotide-excision repair, DNA gap filling [GO:0006297]"
Q6NS15,CHOYP_MED15.1.3|m.19384,0,0,0,0,0,0,0,0,8.00E-83,Mediator of RNA polymerase II transcription subunit 15 (Activator-recruited cofactor 105 kDa component) (ARC105) (xARC105) (Mediator complex subunit 15),med15 arc105,777,"transcription, DNA-templated [GO:0006351]",GO:0001104; GO:0005737; GO:0006351; GO:0016592,,,,PF09606;,"cytoplasm [GO:0005737]; mediator complex [GO:0016592]; RNA polymerase II transcription cofactor activity [GO:0001104]; transcription, DNA-templated [GO:0006351]"
P20163,CHOYP_NEMVEDRAFT_V1G212312.5.5|m.58424,0,0,0,0,0,0,0,0,0.000000005,Heat shock 70 kDa protein D,hsp-4 hsp70d F43E2.8,657,embryo development ending in birth or egg hatching [GO:0009792]; endoplasmic reticulum unfolded protein response [GO:0030968],GO:0001085; GO:0005524; GO:0005788; GO:0005791; GO:0009792; GO:0030968; GO:0034663,,,,PF00012;,endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; rough endoplasmic reticulum [GO:0005791]; ATP binding [GO:0005524]; RNA polymerase II transcription factor binding [GO:0001085]; embryo development ending in birth or egg hatching [GO:0009792]; endoplasmic reticulum unfolded protein response [GO:0030968]
A2ASS6,CHOYP_PHUM_PHUM226120.1.7|m.673,0,0,0,0,0,0,0,0,2.00E-42,Titin (EC 2.7.11.1) (Connectin),Ttn,35213,actin filament organization [GO:0007015]; adult heart development [GO:0007512]; cardiac muscle contraction [GO:0060048]; cardiac muscle fiber development [GO:0048739]; cardiac muscle hypertrophy [GO:0003300]; cardiac muscle tissue morphogenesis [GO:0055008]; cardiac myofibril assembly [GO:0055003]; detection of muscle stretch [GO:0035995]; forward locomotion [GO:0043056]; heart development [GO:0007507]; heart growth [GO:0060419]; heart morphogenesis [GO:0003007]; in utero embryonic development [GO:0001701]; muscle contraction [GO:0006936]; regulation of catalytic activity [GO:0050790]; regulation of protein kinase activity [GO:0045859]; regulation of relaxation of cardiac muscle [GO:1901897]; response to calcium ion [GO:0051592]; sarcomere organization [GO:0045214]; sarcomerogenesis [GO:0048769]; skeletal muscle myosin thick filament assembly [GO:0030241]; skeletal muscle thin filament assembly [GO:0030240]; somitogenesis [GO:0001756]; striated muscle cell development [GO:0055002]; striated muscle contraction [GO:0006941]; striated muscle myosin thick filament assembly [GO:0071688]; ventricular system development [GO:0021591],GO:0000794; GO:0001701; GO:0001756; GO:0002020; GO:0003007; GO:0003300; GO:0004674; GO:0004713; GO:0005200; GO:0005509; GO:0005516; GO:0005524; GO:0005859; GO:0005865; GO:0006936; GO:0006941; GO:0007015; GO:0007507; GO:0007512; GO:0008307; GO:0019899; GO:0019901; GO:0021591; GO:0030017; GO:0030018; GO:0030240; GO:0030241; GO:0030506; GO:0031430; GO:0031433; GO:0031672; GO:0031674; GO:0035995; GO:0042802; GO:0042805; GO:0043056; GO:0043621; GO:0045214; GO:0045859; GO:0048739; GO:0048769; GO:0050790; GO:0051015; GO:0051371; GO:0051592; GO:0055002; GO:0055003; GO:0055008; GO:0060048; GO:0060419; GO:0070062; GO:0071688; GO:0097493; GO:1901897,,,cd00063;,PF00041;PF07679;PF00069;PF02818;PF09042;,A band [GO:0031672]; condensed nuclear chromosome [GO:0000794]; extracellular exosome [GO:0070062]; I band [GO:0031674]; M band [GO:0031430]; muscle myosin complex [GO:0005859]; sarcomere [GO:0030017]; striated muscle thin filament [GO:0005865]; Z disc [GO:0030018]; actin filament binding [GO:0051015]; actinin binding [GO:0042805]; ankyrin binding [GO:0030506]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; muscle alpha-actinin binding [GO:0051371]; protease binding [GO:0002020]; protein kinase binding [GO:0019901]; protein self-association [GO:0043621]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; structural constituent of cytoskeleton [GO:0005200]; structural constituent of muscle [GO:0008307]; structural molecule activity conferring elasticity [GO:0097493]; telethonin binding [GO:0031433]; actin filament organization [GO:0007015]; adult heart development [GO:0007512]; cardiac muscle contraction [GO:0060048]; cardiac muscle fiber development [GO:0048739]; cardiac muscle hypertrophy [GO:0003300]; cardiac muscle tissue morphogenesis [GO:0055008]; cardiac myofibril assembly [GO:0055003]; detection of muscle stretch [GO:0035995]; forward locomotion [GO:0043056]; heart development [GO:0007507]; heart growth [GO:0060419]; heart morphogenesis [GO:0003007]; in utero embryonic development [GO:0001701]; muscle contraction [GO:0006936]; regulation of catalytic activity [GO:0050790]; regulation of protein kinase activity [GO:0045859]; regulation of relaxation of cardiac muscle [GO:1901897]; response to calcium ion [GO:0051592]; sarcomere organization [GO:0045214]; sarcomerogenesis [GO:0048769]; skeletal muscle myosin thick filament assembly [GO:0030241]; skeletal muscle thin filament assembly [GO:0030240]; somitogenesis [GO:0001756]; striated muscle cell development [GO:0055002]; striated muscle contraction [GO:0006941]; striated muscle myosin thick filament assembly [GO:0071688]; ventricular system development [GO:0021591]
P29590,CHOYP_TRI45.13.23|m.35793,0,0,0,0,0,0,0,0,1.00E-14,Protein PML (Promyelocytic leukemia protein) (RING finger protein 71) (Tripartite motif-containing protein 19),PML MYL PP8675 RNF71 TRIM19,882,"activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; apoptotic process [GO:0006915]; branching involved in mammary gland duct morphogenesis [GO:0060444]; cell cycle arrest [GO:0007050]; cell fate commitment [GO:0045165]; cellular response to interleukin-4 [GO:0071353]; cellular senescence [GO:0090398]; circadian regulation of gene expression [GO:0032922]; common-partner SMAD protein phosphorylation [GO:0007182]; defense response to virus [GO:0051607]; DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]; endoplasmic reticulum calcium ion homeostasis [GO:0032469]; entrainment of circadian clock by photoperiod [GO:0043153]; extrinsic apoptotic signaling pathway [GO:0097191]; fibroblast migration [GO:0010761]; innate immune response [GO:0045087]; interferon-gamma-mediated signaling pathway [GO:0060333]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; intrinsic apoptotic signaling pathway in response to oxidative stress [GO:0008631]; maintenance of protein location in nucleus [GO:0051457]; myeloid cell differentiation [GO:0030099]; negative regulation of angiogenesis [GO:0016525]; negative regulation of cell growth [GO:0030308]; negative regulation of cell proliferation [GO:0008285]; negative regulation of interleukin-1 beta secretion [GO:0050713]; negative regulation of mitotic cell cycle [GO:0045930]; negative regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:2000059]; negative regulation of telomerase activity [GO:0051974]; negative regulation of telomere maintenance via telomerase [GO:0032211]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of translation in response to oxidative stress [GO:0032938]; negative regulation of viral release from host cell [GO:1902187]; PML body organization [GO:0030578]; positive regulation of apoptotic process involved in mammary gland involution [GO:0060058]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of histone deacetylation [GO:0031065]; positive regulation of MHC class I biosynthetic process [GO:0045345]; positive regulation of protein localization to chromosome, telomeric region [GO:1904816]; positive regulation of telomere maintenance [GO:0032206]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein complex assembly [GO:0006461]; protein stabilization [GO:0050821]; protein targeting [GO:0006605]; regulation of calcium ion transport into cytosol [GO:0010522]; regulation of cell adhesion [GO:0030155]; regulation of circadian rhythm [GO:0042752]; regulation of double-strand break repair [GO:2000779]; regulation of protein phosphorylation [GO:0001932]; regulation of signal transduction by p53 class mediator [GO:1901796]; regulation of transcription, DNA-templated [GO:0006355]; response to cytokine [GO:0034097]; response to gamma radiation [GO:0010332]; response to hypoxia [GO:0001666]; response to UV [GO:0009411]; retinoic acid receptor signaling pathway [GO:0048384]; SMAD protein import into nucleus [GO:0007184]; transcription, DNA-templated [GO:0006351]; transforming growth factor beta receptor signaling pathway [GO:0007179]; viral process [GO:0016032]",GO:0000784; GO:0001666; GO:0001932; GO:0002230; GO:0003677; GO:0003713; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0006351; GO:0006355; GO:0006461; GO:0006605; GO:0006915; GO:0006919; GO:0006977; GO:0007050; GO:0007179; GO:0007182; GO:0007184; GO:0008270; GO:0008285; GO:0008630; GO:0008631; GO:0009411; GO:0010332; GO:0010522; GO:0010761; GO:0016032; GO:0016363; GO:0016525; GO:0016605; GO:0030099; GO:0030155; GO:0030308; GO:0030578; GO:0031065; GO:0031625; GO:0031901; GO:0031965; GO:0032183; GO:0032206; GO:0032211; GO:0032469; GO:0032922; GO:0032938; GO:0034097; GO:0042406; GO:0042752; GO:0042771; GO:0042803; GO:0043153; GO:0043161; GO:0045087; GO:0045165; GO:0045345; GO:0045892; GO:0045930; GO:0045944; GO:0046982; GO:0048146; GO:0048384; GO:0050713; GO:0050821; GO:0050897; GO:0051457; GO:0051607; GO:0051974; GO:0060058; GO:0060333; GO:0060444; GO:0070059; GO:0071353; GO:0090398; GO:0097191; GO:1901796; GO:1902187; GO:1904816; GO:2000059; GO:2000779; GO:2001238,,,,PF12126;PF00643;,"cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome membrane [GO:0031901]; extrinsic component of endoplasmic reticulum membrane [GO:0042406]; nuclear chromosome, telomeric region [GO:0000784]; nuclear matrix [GO:0016363]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]; cobalt ion binding [GO:0050897]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; SUMO binding [GO:0032183]; transcription coactivator activity [GO:0003713]; ubiquitin protein ligase binding [GO:0031625]; zinc ion binding [GO:0008270]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; apoptotic process [GO:0006915]; branching involved in mammary gland duct morphogenesis [GO:0060444]; cell cycle arrest [GO:0007050]; cell fate commitment [GO:0045165]; cellular response to interleukin-4 [GO:0071353]; cellular senescence [GO:0090398]; circadian regulation of gene expression [GO:0032922]; common-partner SMAD protein phosphorylation [GO:0007182]; defense response to virus [GO:0051607]; DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]; endoplasmic reticulum calcium ion homeostasis [GO:0032469]; entrainment of circadian clock by photoperiod [GO:0043153]; extrinsic apoptotic signaling pathway [GO:0097191]; fibroblast migration [GO:0010761]; innate immune response [GO:0045087]; interferon-gamma-mediated signaling pathway [GO:0060333]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; intrinsic apoptotic signaling pathway in response to oxidative stress [GO:0008631]; maintenance of protein location in nucleus [GO:0051457]; myeloid cell differentiation [GO:0030099]; negative regulation of angiogenesis [GO:0016525]; negative regulation of cell growth [GO:0030308]; negative regulation of cell proliferation [GO:0008285]; negative regulation of interleukin-1 beta secretion [GO:0050713]; negative regulation of mitotic cell cycle [GO:0045930]; negative regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:2000059]; negative regulation of telomerase activity [GO:0051974]; negative regulation of telomere maintenance via telomerase [GO:0032211]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of translation in response to oxidative stress [GO:0032938]; negative regulation of viral release from host cell [GO:1902187]; PML body organization [GO:0030578]; positive regulation of apoptotic process involved in mammary gland involution [GO:0060058]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of histone deacetylation [GO:0031065]; positive regulation of MHC class I biosynthetic process [GO:0045345]; positive regulation of protein localization to chromosome, telomeric region [GO:1904816]; positive regulation of telomere maintenance [GO:0032206]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein complex assembly [GO:0006461]; protein stabilization [GO:0050821]; protein targeting [GO:0006605]; regulation of calcium ion transport into cytosol [GO:0010522]; regulation of cell adhesion [GO:0030155]; regulation of circadian rhythm [GO:0042752]; regulation of double-strand break repair [GO:2000779]; regulation of protein phosphorylation [GO:0001932]; regulation of signal transduction by p53 class mediator [GO:1901796]; regulation of transcription, DNA-templated [GO:0006355]; response to cytokine [GO:0034097]; response to gamma radiation [GO:0010332]; response to hypoxia [GO:0001666]; response to UV [GO:0009411]; retinoic acid receptor signaling pathway [GO:0048384]; SMAD protein import into nucleus [GO:0007184]; transcription, DNA-templated [GO:0006351]; transforming growth factor beta receptor signaling pathway [GO:0007179]; viral process [GO:0016032]"
H2A0M3,CHOYP_AMO.1.5|m.28337,0,0,0,0,0,0,0,0,0,Putative amine oxidase [copper-containing] (EC 1.4.3.-),,781,amine metabolic process [GO:0009308],GO:0005507; GO:0005576; GO:0008131; GO:0009308; GO:0048038,,,,PF01179;,extracellular region [GO:0005576]; copper ion binding [GO:0005507]; primary amine oxidase activity [GO:0008131]; quinone binding [GO:0048038]; amine metabolic process [GO:0009308]
Q6NZJ6,CHOYP_BRAFLDRAFT_277494.1.3|m.54113,0,0,0,0,0,0,0,0,6.00E-105,Eukaryotic translation initiation factor 4 gamma 1 (eIF-4-gamma 1) (eIF-4G 1) (eIF-4G1),Eif4g1,1600,behavioral fear response [GO:0001662]; cellular macromolecule biosynthetic process [GO:0034645]; lung development [GO:0030324]; mitochondrion organization [GO:0007005]; negative regulation of autophagy [GO:0010507]; negative regulation of peptidyl-threonine phosphorylation [GO:0010801]; positive regulation of cell growth [GO:0030307]; positive regulation of cell proliferation [GO:0008284]; positive regulation of cellular protein metabolic process [GO:0032270]; positive regulation of energy homeostasis [GO:2000507]; positive regulation of eukaryotic translation initiation factor 4F complex assembly [GO:1905537]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of miRNA mediated inhibition of translation [GO:1905618]; positive regulation of mRNA cap binding [GO:1905612]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; regulation of polysome binding [GO:1905696]; regulation of presynapse assembly [GO:1905606]; regulation of translational initiation [GO:0006446]; response to ethanol [GO:0045471]; translation [GO:0006412],GO:0001662; GO:0003723; GO:0003729; GO:0003743; GO:0005524; GO:0005634; GO:0005737; GO:0005844; GO:0005913; GO:0006412; GO:0006446; GO:0007005; GO:0008135; GO:0008190; GO:0008284; GO:0010507; GO:0010801; GO:0016020; GO:0016281; GO:0030307; GO:0030324; GO:0032270; GO:0033138; GO:0034645; GO:0045471; GO:0045666; GO:0098641; GO:1900087; GO:1905537; GO:1905606; GO:1905612; GO:1905618; GO:1905696; GO:2000507,,,,PF02847;PF02854;PF02020;,"cell-cell adherens junction [GO:0005913]; cytoplasm [GO:0005737]; eukaryotic translation initiation factor 4F complex [GO:0016281]; membrane [GO:0016020]; nucleus [GO:0005634]; polysome [GO:0005844]; ATP binding [GO:0005524]; cadherin binding involved in cell-cell adhesion [GO:0098641]; eukaryotic initiation factor 4E binding [GO:0008190]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; translation factor activity, RNA binding [GO:0008135]; translation initiation factor activity [GO:0003743]; behavioral fear response [GO:0001662]; cellular macromolecule biosynthetic process [GO:0034645]; lung development [GO:0030324]; mitochondrion organization [GO:0007005]; negative regulation of autophagy [GO:0010507]; negative regulation of peptidyl-threonine phosphorylation [GO:0010801]; positive regulation of cell growth [GO:0030307]; positive regulation of cell proliferation [GO:0008284]; positive regulation of cellular protein metabolic process [GO:0032270]; positive regulation of energy homeostasis [GO:2000507]; positive regulation of eukaryotic translation initiation factor 4F complex assembly [GO:1905537]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of miRNA mediated inhibition of translation [GO:1905618]; positive regulation of mRNA cap binding [GO:1905612]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; regulation of polysome binding [GO:1905696]; regulation of presynapse assembly [GO:1905606]; regulation of translational initiation [GO:0006446]; response to ethanol [GO:0045471]; translation [GO:0006412]"
Q8VHS2,CHOYP_BRAFLDRAFT_64071.1.35|m.3422,0,0,0,0,0,0,0,0,0.000000003,Protein crumbs homolog 1,Crb1,1405,eye photoreceptor cell development [GO:0042462]; membrane organization [GO:0061024]; plasma membrane organization [GO:0007009],GO:0005509; GO:0005886; GO:0005902; GO:0007009; GO:0016021; GO:0042462; GO:0061024,,,,PF00008;PF12661;PF02210;,integral component of membrane [GO:0016021]; microvillus [GO:0005902]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; eye photoreceptor cell development [GO:0042462]; membrane organization [GO:0061024]; plasma membrane organization [GO:0007009]
O08893,CHOYP_CALCR.1.6|m.856,0.5,0,0,0,0,0,0,0,2.00E-74,Calcitonin receptor (CT-R),CALCR,478,cell surface receptor signaling pathway [GO:0007166],GO:0004948; GO:0005886; GO:0007166; GO:0016021,,,,PF00002;PF02793;,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcitonin receptor activity [GO:0004948]; cell surface receptor signaling pathway [GO:0007166]
Q5HZB6,CHOYP_CLASR.1.2|m.27688,0.5,0,0,0,0,0,0,0,4.00E-102,"CLK4-associating serine/arginine rich protein (Splicing factor, arginine/serine-rich 16)",Clasrp Sfrs16,668,mRNA processing [GO:0006397]; RNA splicing [GO:0008380],GO:0005634; GO:0006397; GO:0008380,,,,PF09750;,nucleus [GO:0005634]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]
Q61493,CHOYP_DPOLZ.1.1|m.49299,0,0,0,0,0,0,0,0,0,DNA polymerase zeta catalytic subunit (EC 2.7.7.7) (Protein reversionless 3-like) (REV3-like) (Seizure-related protein 4),Rev3l Polz Sez4,3122,DNA repair [GO:0006281]; DNA replication [GO:0006260]; error-prone translesion synthesis [GO:0042276],GO:0000166; GO:0003677; GO:0003887; GO:0005730; GO:0006260; GO:0006281; GO:0008408; GO:0016035; GO:0042276; GO:0046872; GO:0051539,,,,PF00136;PF03104;PF15735;PF14260;,"nucleolus [GO:0005730]; zeta DNA polymerase complex [GO:0016035]; 3'-5' exonuclease activity [GO:0008408]; 4 iron, 4 sulfur cluster binding [GO:0051539]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; error-prone translesion synthesis [GO:0042276]"
